,Item (Texto),Gravedad,sesgo
0,"Las protestas sin precedentes, ya completas casi un mes, han resultado de control sobre la relave la violencia y tienen al borde de la bancarrota de millones de personas y empresas en el país, aunque muchas de las demandas de los manifestantes son justas.",2.0,1.0
1,"Antes de los rivales irreconciliables en los tribunales, hoy colegas en protestas sociales. Los fanáticos de la club con historia de largas enemigos en Colombia se unieron sus voces para rechazar la realización de la Copa América 2021 que su país tuvo que recibir junto con Argentina. Y los fanáticos lo obtuvieron, los fanáticos.y la población en general "". ¡No juegues, la copa no se juega!"", Los seguidores de diferentes equipos gritaron con pancartas que oraron ""Si no hay paz, no hay fútbol"" y logró el impensable. Colombia perdió la sede porLa decisión de la condena y los fanáticos del fútbol celebran lo que consideran un triunfo social, por encima de sus preferencias deportivas.",1.0,0.0
2,"Una patrulla de la Policía Nacional informó este jueves que fue violada por vándalos en Cali, Valle del Cauca. El funcionario que estaba en trabajos de seguridad durante las manifestaciones el 29 de abril, cuando ocurrieron los hechos. Se le había asignado a la seguridad en un sector aEl este de Cali. En medio de los actos vandalicos, entró en la CAI para protegerse de ella. Pero los vándalos lo llevaron en contra de las instalaciones y jugaron fuego. Aquí, esta mujer comenzó a vivir los momentos más difíciles de su vida.",3.0,1.0
3,"A primera vista, todo lo que Petro ha dicho es claramente una exageración o una mentira. Sin embargo, en un entorno hervido y violento, sus palabras se vuelven gasolina, y lo único que hacen es que la luz odia más en un momento en que los colombianos exigen la grandeza y los sensibilizantes.Demanda, principalmente jóvenes. Para esta razón, Petro está mal y está jugando, literalmente, con fuego: lo que hoy puede hacerlo popular mañana podría pasar una factura costosa en términos políticos y dejarlo sin opciones en las presidenciales.",1.0,1.0
4,"Durante los últimos 26 días, ya que se convirtió en un desempleo nacional como negativo a las directrices del gobierno de Ivan Duque, la Oficina del Fiscal General y el Defensor del Pueblo tienen en sus informes, 43 personas fallecidas de las cuales 17 de ellas tienen Nexus directas con las protestas. Los lugares.del país que informa la mayor cantidad de muertes es Cali con ocho casos, seguido por Valle del Cauca (3), Cundinamarca (3), Tolima (1) y Bogotá (1) .Adicionalmente, hay 7 muertes en el proceso de verificación,Y alrededor de 19 tienen evidencia para establecer que no mantienen el vínculo con las movilizaciones.",3.0,0.0
5,"El sábado 22 de mayo, el patrullero de Esmad Cristian Calderón, con un año en la Policía Nacional, fue gravemente herido en su rostro cuando un hombre lo atacó con una bomba incendiaria en medio de lo que estaban registrando en la carretera surcondwith Avenida 68.""La policía ofrece 50 millones de pesos para los responsables de los responsables de este intento de homicidios. Se ha creado un equipo especial para darles a los responsables de los videos e información que la policía nacional ha estado recibiendo"", dijo Vargas General Vargas.",3.0,1.0
6,"... Las imágenes fueron reportadas y difundidas sobre las movilizaciones ciudadanas, que fueron reprimidas por la policía, en el sector de Calima, de la misma ciudad. Además de Cali, había protestas en Palmira, también en Valle del Cauca, donde denunciaron unLa sangrienta represión por parte de las fuerzas de seguridad contra el descontento. Citizens publicó videos sobre las redes sociales y denunció que varias personas se lesionaban. En ese mismo espacio también hubo informes de presumidas capturas y desapariciones, aunque no se conocen figuras.",3.0,-1.0
7,"Colombia.- El gobierno colombiano y el Comité de Desempleo cierran el octavo día de diálogo sin llegar a los acuerdos.

El 28 de abril, comenzó el desempleo nacional, una huelga indefinida convocada en contra de la propuesta de reforma fiscal del Gobierno del Presidente Iván Duque. La propuesta finalmente fue retirada por el Ejecutivo, pero la protesta continúa denunciando la represión policial y las políticas de Duke.Y se han planteado una serie de reclamaciones sociales, sanitarias y educativas.",1.0,0.0
8,"La presión de las movilizaciones en todo el país, que comenzó junto a un desempleo nacional el 28 de abril, deje por el momento dos logros tangibles: la retirada del proyecto a la reforma fiscal, anunció el 2 de mayo y la cancelación de la reforma de la salud,el 19 de mayo.",2.0,0.0
9,"Miles de colombianos se manifiestan en todo el país en el 12 de mayo, en el tercer día del desempleo nacional, ya que comenzaron las protestas antigubernamentales el 28 de abril. Las movilizaciones de este miércoles, que tienen lugar de manera pacífica, fueron convocadas por el Comité Nacional.De parada en respuesta a la falta de un acuerdo con el presidente Iván Duque durante la primera reunión celebrada el lunes pasado para negociar sus propuestas sociales y económicas y la seguridad para encontrar una salida a la crisis.",1.0,0.0
