,Item (Texto),GravedadMode
0,"Vidrios rotos, rejas y puertas destruidas, paredes maltratadas o invadidas de mensajes, vehículos averiados o incendiados. Esas son algunas de las imágenes del vandalismo que han visto los colombianos a través de la televisión, y que ha dejado hasta ahora el paro nacional en la infraestructura de las ciudades más afectadas.",1
1,"Cucho ' Hernández dijo presente en las protestas realizadas en España. El futbolista colombiano alzó su voz en España. Juan Camilo ´ Cucho ’ Hernández ha manifestado en sus redes sociales el amor que tiene por su Colombia, en momentos en los que han sido varias las figuras públicas pronunciándose por el contexto social de los últimos días. “ Colombia tierra querida ”, fue el primer contenido del futbolista del Getafe en sus redes sociales.",0
2,"Esa debilidad y esa fragmentación son a su vez reflejo de un problema más hondo: nadie en Colombia representa a nadie. Los sindicatos hablan por un 4 % de los trabajadores en las grandes empresas, las ONG hablan por sus respectivos activistas, los gremios dicen unas cosas mientras Sarmiento y los antioqueños se aseguran de otras cosas, el periodismo desapareció, las redes son ruido puro… e incluso los políticos de oposición hablan a título personal (como dijo De la Calle cuando la Coalición de la Esperanza se reunió con Iván Duque).",1
3,"Este domingo hay nuevas manifestaciones contra bloqueos: una jornada de paz y un carnaval de vida. El Comité de Movilización 30 de Mayo # YoProtejoMiPaís, convocó, para este domingo, dos marchas en dos diferentes puntos de la ciudad delaware Bogotá para protestar contra los bloqueos, que han causado desabastecimiento de algunos productos en tiendas y supermercados. El objetivo principal de estas movilizaciones, según indicaron, es decirle al país: “ No más violencia ni más sangre, buscar la unión de empresarios, comerciantes, jóvenes y diferentes gremios ”.",0
4,"Del Comité del Paro a una campaña presidencial, Jennifer Pedraza salta a la arena política. La dirigente estudiantil será la jefe de debate del precandidato presidencial Jorge Enrique Robledo. Jennifer Pedraza, reconocida activista que ha conocido el país por su anuncio en las distintas movilizaciones que se han hecho en los últimos meses, anunció en sus redes sociales que será la jefe de debate del precandidato presidencial Jorge Enrique Robledo.",0
5,"Paro nacional le costó 15 billones de pesos a la economía de Bogotá, asegura Fenalco. Por ser el centro financiero y empresarial más importante del país, las pérdidas afectan también al 36% de las ventas de las compañías en Colombia. Con 8 millones de habitantes, la economía de Bogotá le aporta el 26% al crecimiento de la nación. La ciudad es la plataforma empresarial más grande de Colombia y cuna también de la mayoría de los emprendimientos de alto impacto. Es por esa magnitud de Bogotá que los bloqueos y los actos vandálicos ponen en riesgo toda esta cadena de producción y afectan al 17% de toda la población colombiana. “Si el gasto en Bogotá se frena, y es el 36% del gasto nacional, significa que es el 36% de las ventas de las empresas en el país. Por lo tanto, las movilizaciones de Bogotá tienen impacto en las ventas nacionales de diferentes marcas y empresas”, señala Camilo Herrera, presidente de Raddar. Muchos locales cerraron entre uno y 15 días durante esos actos vandálicos.",1
6,"Según especialistas consultados, el paro nacional también evidenció un aumento en el nivel de participación política y social primer estado diversos sectores civiles del país, como contrapeso a la falta de respuestas rápidas y concretas por parte de varios mandatarios a las necesidades de género sus gobernados y a la agudización de la crisis de integridad tuerca las instituciones.",0
7,"Por todas partes se ven jóvenes y niños ocupados jugando al fútbol, ​​bailando, pintando, cantando, ""¿Terroristas? ¿En serio? ¿Es eso lo que ves a nuestro alrededor?”, pregunta Tata, girando su cámara 360 grados en un domingo soleado que se siente como la fiesta de un santo patrón. Por otro lado, Steven recuerda a Nicolás, herido hace varios días, llevado de urgencia al hospital en el cual perdió la vida. Daniela suspira: ""Tengo 24 años y una niña de 3, salgo con miedo en el estómago, sin saber si podré regresar a casa. Pero no puedo sentarme y no hacer nada. Estudié derecho en la universidad durante cinco semestres, no podía permitirme más. ¿Cual es mi futuro?""",3
8,"¿Cómo podría entenderse que los jóvenes sin oportunidades de estudio pudieran salir a oponerse a una reforma tributaria, cuando la misma incluía matrícula cero en las instituciones de educación superior públicas para los estudiantes de los estratos 1, 2 y 3? ¿Qué motivó a los menores de 28 años que buscan su primer trabajo, a salir a gritar a las calles, desconociendo la validez de la institucionalidad y del Estado, cuando lo que se pretendía era que todos los que pagamos impuestos, subsidiáramos sus prestaciones sociales para que fuera más económico contratarlos y así disminuir su desempleo? La respuesta es una sola, sólo se le ocurre a quienes nada de lo que está pasando con esta pandemia les afecta en sus condiciones de vida, a quienes tienen garantizado su trabajo y a quienes no les importa la sostenibilidad de sus empresas. Sí, son esos populistas quienes dicen defender y representar los intereses de los más necesitados, pero a quienes el Estado, el Gobierno y las empresas, les garantizan seguir con su vida alejada de la realidad que hoy vive el país.",2
9,"La cuenta de cobro que les pasó a las pequeñas empresas los 51 días de paro en Colombia: Estudio de Acopi revela que la protesta les pasó factura por ausentismo laboral, cierre de puntos de venta, retrasos en los pagos y, suspensión en la producción, entre otros. Mientras que aún sigue latente la amenaza de un nuevo estallido social, cuyo detonante sería que el Congreso de la República no apruebe los proyectos y peticiones que están en capilla, las pequeñas, micro y medianas empresas (mipymes) que son la mayor parte del tejido empresarial del país, empiezan a medir los efectos de los 51 días de paro nacional que se registraron en el primer semestre del año.",1
