,Item (Texto),GravedadMode
0,"En las últimas horas varios congresistas de oposición denunciaron que la Procuraduría les abrió indagaciones preliminares e investigaciones formales por asuntos relacionados con el paro nacional y horas antes de que en el Congreso empezara el debate a la reforma del Código Disciplinario que le daría poderes de juez a la procuradora Margarita Cabello. La consecuencia que estas investigaciones suscita es que los parlamentarios indagados deberán declararse impedidos para votar sobre esta reforma la cual, desde que fue radicada, no apoyan. Entre los representantes afectados se destacan Ángela María Robledo, Inti Asprilla, María José Pizarro y el senador Alexander López, quienes denunciaron que se trata de un hostigamiento por parte del Ministerio Público.",3
1,"El parque Mundo al que se refiere es un espacio público ubicado en inmediaciones del portal que ya ha sido ocupado con campamentos. Concejales han denunciado la ocupación de este espacio y el Distrito está al tanto de su existencia. Hace unas semanas, de hecho, se ofrecieron allí servicios distritales en el marco de una feria comunitaria. Ante la posibilidad de que el Distrito no conceda este espacio, ‘el Profe’ aseguró que están abiertos “a escuchar otras opciones”.",1
2,"Una encuesta de Confecámaras reportó que 90,4% de los 12.979 empresarios consultados dijeron que, de los puestos de trabajo que generan, entre uno y cinco están en riesgo por los efectos del paro y los bloqueos. Así mismo, una encuesta de la Cámara de Comercio de Bogotá encontró que, de continuar con la situación de orden público, 21% de las compañías en la capital reduciría el personal contratado.",2
3,"Molano afirmó el sábado que la Fuerza Pública identificó ya a los cabecillas de los actos vandálicos en la ciudad, entre los cuales, según el ministro, estarían alias ‘Andrés’, ‘Cheto’ y ‘Maiz’ al tiempo que ofreció una recompensa de hasta 50 millones de pesos por información sobre estos hechos.
Según el gobernador, estas declaraciones provocaron el rechazo de la ciudadanía caucana, porque se trata de líderes sociales reconocidos en la región. El gobernador pidió garantías para estos líderes y que se cumpla con los preceptos legales del debido proceso.",3
4,"El Instituto de Estudios para el Desarrollo y la Paz (Indepaz) denunció el asesinato de tres jóvenes en el departamento colombiano de Cauca, una de las regiones con gran población indígena en Colombia, dos de ellos identificados como integrantes de la Coordinadora de Procesos Populares y Comunitarios (CPPC) y miembros activos del paro nacional contra el gobierno de derecha de  Iván Duque.",3
5,Fuertes disturbios se registraron este miércoles en el norte de Popayán en desarrollo de una nueva jornada de manifestaciones del paro nacional. Se reportan seis personas lesionadas. ,2
6,"Uribe, Petro y Duque, señalados de oportunistas por felicitar a Egan por el Giro de Italia. .. En Twitter también sobresalieron comentarios en los que se planteó que los mensajes de Duque, Petro y Uribe, sino que la victoria de Egan unió al país. Uno de ellos fue el de Mauricio Jaramillo Marín, quien trinó: “ Le dicen oportunista a Petro por tuitear sobre Egan. Le dicen oportunista al presidente por felicitarlo. Y a otros. ¿ Cuál es la partida? (Yo creo que, al contrario, esto no es de oportunismo: la victoria en el Giro es algo que nos une, que está por encima de rivalidades) ”.",0
7,"Petro sí tiene que ver con el paro: Néstor Humberto Martínez. El exfiscal cree que el candidato de la Colombia Humana sí está detrás de las manifestaciones. En la entrevista, la directora de SEMANA, Vicky Dávila, le preguntó a Martínez si para él Petro tiene que ver con el paro, a lo que contestó: “ Definitivamente, sí tiene que ver ”. Agregó que es un hecho que el senador ha convocado grandes movilizaciones y que las personas más cercanas a él son quienes financian a quienes están en las calles. "" Recordará el país que Petro convocó la marcha más grande de la historia de Colombia. Su gente es la dueña y financiadora de la Primera Línea, es decir, de la confrontación con el Esmad. O sea, forman parte no solamente de las marchas pacíficas, sino de los actos de violencia frente a la entendido ”, comentó. Martínez se refiere a la Vaki que promovió Gustavo Bolívar para entregarles elementos a los marchantes de este grupo.",0
8,"Mindefensa advierte que ya tienen borrador del proyecto antivandalismo. El ministro Diego Molano explicó cuáles son los puntos centrales de este proyecto anunciado por el presidente Iván Duque. El proyecto antivandalismo, que propuso el presidente de la República, Iván Duque, fue una respuesta a los hechos de violencia, terrorismo y hostigamientos, no sólo a la fuerza pública, sino a la comunidad y durante las jornadas de protesta del Paro Nacional. El presidente lo anticipó y ahora el ministro de Defensa, Diego Molano, advirtió que tienen listo un borrador de ese proyecto. Molano aseguró que el proyecto tiene tres pilares fundamentales, que incluye, en primer lugar: endurecer las penas para quienes incurran en conductas ilegales relacionadas con la movilización o que afecten la protesta pacífica. El proyecto, según el ministro Molano, se acompaña de la creación de nuevo tipos penales, es decir, nuevos delitos sobre conductas que a su criterio no están penalizadas. Por último, son los mecanismos para garantizar que la infiltración de los violentos no afecte el normal desarrollo de la protesta pacífica.",1
9,"Esa debilidad y esa fragmentación son a su vez reflejo de un problema más hondo: nadie en Colombia representa a nadie. Los sindicatos hablan por un 4 % de los trabajadores en las grandes empresas, las ONG hablan por sus respectivos activistas, los gremios dicen unas cosas mientras Sarmiento y los antioqueños se aseguran de otras cosas, el periodismo desapareció, las redes son ruido puro… e incluso los políticos de oposición hablan a título personal (como dijo De la Calle cuando la Coalición de la Esperanza se reunió con Iván Duque).",1
