,Item (Texto),SesgoMode
0,"Motilonas Rap es un grupo de rap conformado por Johana Ortega Cabarico y Denys Aleyda Cáceres Cabarico, quienes le dieron vida en el año 2010 en el municipio de Tibú (Norte de Santander). Su nombre artístico es un homenaje al pueblo originario Barí, conocidos como Motilones Barí, quienes han habitado y resistido históricamente en este territorio. Para las Motilonas, el rap es una herramienta que permite reconstruir la memoria, fortalecer el tejido social, devolver la esperanza y aportar a la transformación territorial a través del arte. «¿Cuándo será la última vez que escribiremos a nuestro país que estamos cansados de la muerte, de la guerra, la miseria y todo lo que nos duele? A gritos y con digna rabia nos volvemos a levantar con rap hasta que nos escuchen, y en medio del paro nacional no seremos la excepción», expresó Denys Cáceres.",0
1,"Si sumamos sus representantes a la Cámara y senadores, Antioquia se convierte en el departamento con mayor cantidad de congresistas: 28 en total. Son 18 representantes y 10 senadores (de origen antioqueño o que concentran su votación en el departamento). En su gran mayoría, se alinearon con Duque para salvar al ministro de Defensa, Diego Molano, sobre quien se adelantó una moción de censura en dos tiempos que buscaba retirarlo del cargo debido a su errático manejo de la fuerza pública en el marco del paro nacional; sus comentarios denigrantes sobre la protesta social y su indiferencia con los miles de víctimas que sigue dejando la represión policial.",-1
2,"En Cali, Medellín, Bucaramanga, Pasto, Popayán y Bogotá se registraron las principales manifestaciones esta semana, luego del anuncio del Comité Nacional del Paro de suspender temporalmente las movilizaciones y empezar nuevas tácticas, para continuar el paro.",0
3,"El Comité del Paro Nacional de Colombia rechazó este lunes el decreto del Gobierno colombiano de Iván Duque el cual excluye los bloqueos durante las protestas pacíficas y, según ha denunciado la sociedad civil, los criminaliza.",0
4,Vándalos quemaron un bus de TransMilenio en la estación Terreros de Soacha. TransMileno suspendió el servicio de la ruta G520. Un gigantesco trancón de más de dos kilómetros se registra en la entrada sur de Bogotá.,1
5,"La CIDH agregó que se buscará principalmente escuchar a las víctimas de violaciones a los derechos humanos y sus familiares para recibir testimonios, denuncias y comunicaciones, las cuales se deberán enviar a través del portal oficial de la CIDH. Urrejola informó además que, previo al comienzo de la visita oficial, tuvo una reunión con la canciller, Marta Lucía Ramírez, el fiscal general, Francisco Barbosa, y el defensor del Pueblo, Carlos Camargo.",0
6,"Por medio de un video se denuncia el que sería el entrenamiento de la llamada 'Primera Línea' a menores de edad en el Parque de los Deseos, en Medellín. Por medio de las cámaras de seguridad del sector se conoce lo que sería el entrenamiento de por lo menos 20 niños con palos y escudos improvisados.",1
7,"Es sencillo ser un pensionado que se opone a cualquier reforma y hacer parte del Comité del Paro, cuando se recibe un subsidio millonario a cargo del Estado. Por ejemplo, en una pensión de 10 millones de pesos que paga Colpensiones, 4 millones los ahorró ese trabajador durante su vida laboral mediante sus aportes, los restantes 6 millones los aportamos los demás colombianos, incluso los más pobres al pagar el famoso IVA, IVA que por cierto hoy pagan y se pretendía devolver a 40% de la población.",1
8,"La presión de las movilizaciones a lo largo del país, que iniciaron junto a un paro nacional el pasado 28 de abril, dejan por el momento dos logros tangibles: el retiro del proyecto a la reforma tributaria, anunciado el pasado 2 de mayo y la cancelación de la reforma a la salud, el pasado 19 de mayo.",0
9,Los bloqueos en el país han dejado pérdidas del orden de 516 mil millones de pesos para el comercio paisa y cerca de nueve de cada diez empresarios del sector (88 %) reportan escasez de productos. La situación es adversa y ha provocado que se dejen de percibir $18 mil millones diarios.,0
10,"Amnistía Internacional (AI) urgió este jueves a Estados Unidos a que suspenda el suministro de armas a Colombia por su uso contra manifestantes en las protestas antigubernamentales que han estallado en esa nación suramericana. La organización, con sede en Londres, consideró verificado que el Gobierno presidido por el derechista Iván Duque ""está utilizando indebidamente armas y equipos de Estados Unidos para cometer violaciones de derechos humanos contra manifestantes en Colombia"". Por ello, AI instó al secretario de Estado de EE.UU., Antony Blinken, a que ""cese de inmediato el suministro, venta o transferencia directa o indirecta de material utilizado para la represión"".",-1
11,"Este lunes Colombia cumplió dos meses de movilizaciones por el Paro Nacional. Las manifestaciones de la semana se vieron marcadas por un nuevo recrudecimiento de la violencia. Tras la protesta del 29 de junio contra la brutalidad policial en Bogotá, tres oficiales han sido suspendidos por agredir físicamente a dos periodistas y a un joven civil. Por otro lado, en Bogotá fracasó el intento por instalar la mesa de diálogo con los representantes de la llamada Primera Línea.",0
12,"los jóvenes siempre han sido actores relevantes en los reclamos y las protestas sociales, sin embargo, el paro que generó un estallido social este año tiene una particularidad para ella: “Ahora los adultos, la generación anterior a nosotros como nuestros padres y abuelos, nos están reconociendo, antes no lo hacían”. De eso, precisamente, se trataba el IV Encuentro de Memorias. Danilo Rueda, coordinador de la Comisión Intereclesial de Justicia y Paz, explicó que para garantizar la no repetición del conflicto hay que entender que “cuando hablamos de territorios no son solo la ruralidad, sino también los territorios urbanos”.",0
13,"""Rechazamos la intención de los manifestantes de coger los barrios populares de escudos para refugiarse, en eso también hemos solicitado a la Policía a no caer en esas provocaciones"", aseguró el alcalde de Cartago, Víctor Álvarez. En retaliación algunos manifestantes vandalizaron las instalaciones del Hospital San Juan de Dios, también una ambulancia e incineraron el único carro tanque de los bomberos voluntarios con el que contaba el municipio.",1
14,"Marbelle nunca ha ocultado su uribismo. Es más, en estos días convulsos, violentos, su discurso se ha radicalizado. A pesar de que Petro no ha hecho otra cosa que llamar a la calma, Marbelle insiste en que fue el senador de la Colombia Humana quien incendió Cali, quien vive una verdadera batalla campal. Sin embargo, con todo el cariño, Tatán Mejía la contradijo y le recordó que había sido Uribe, con sus trinos, quien radicalizó la protesta",-1
15,"Las redes sociales fueron testigo de una nueva polémica protagonizada por Miguel Polo Polo, quien compartió, desde su cuenta de Twitter, un nuevo montaje que involucra al senador Gustavo Petro y en el cual sugiere que el dirigente de la Colombia Humana es un criminal perseguido por la justicia. Inclusive, indica el trino del militante político que habría una supuesta recompensa para dar con su paradero.",0
16,"Cabal realizó un comentario respondiendo a una crítica que Miguel Polo, activista colombiano, hizo sobre el papel que ha desempeñado Luisito Comunica desde su llegada al país. “Luisito me cae bien, pero si viene a hacer ver a los del bloqueo como unos justicieros sociales, cuando son unos bandidos que violan los derechos a la libre circulación, trabajo y salud de la ciudadanía, mejor que se regrese a México. Suficiente tenemos con las ONG de Izquierda”, aseguró Miguel Polo a través de sus redes sociales. Sobre este comentario, la congresista perteneciente a la bancada del Centro Democrático respondió diciendo: “¿Quién lo patrocina?”. Este hecho fue criticado por diferentes sectores y grupos sociales que apoyan la protesta social que se desarrolla en Colombia, argumentando que no hay ningún tinte político detrás de la labor que Luisito está desempeñando en el territorio nacional.",0
17,"“El desgaste al que le apostó el Gobierno Nacional -al esperar a que el cansancio y la zozobra por el desabastecimiento a causa de los bloqueos y el vandalismo se extendieran- le abrió la posibilidad de encontrar un enemigo claro: la protesta. Ahí, además, también hubo grupos ilegales que las autoridades relacionaron con la guerrilla, un enemigo cercano a la izquierda”, explica.",1
18,"No se permitirán bloqueos en próximas jornadas de manifestaciones: MinDefensa. El ministro Diego Molano, aseguró que hay información de inteligencia sobre que las disidencias de las Farc y el ELN buscan financiar actos violentos. Un nuevo mensaje le envió el gobierno a quienes pretenden tomarse las vías de hecho en medio de manifestaciones. Dijo el ejecutivo que no se permitirán actos de vandalismo ni bloqueos como ocurrido en las últimas jornadas del paro nacional.",1
19,"La protesta en Colombia tiene su origen en una subida de impuestos a la que se le ha sumado un gran malestar social. La actuación de la policía no ha ayudado a apaciguar ese descontento. Jerónimo Castillo, investigador de la fundación Ideas para la Paz, un laboratorio de ideas, considera que las autoridades no han sabido responder a las demandas de la calle. “Hay un Estado que se ha ido desmontando su bienestar y se ha concentrado en asuntos policiales (la guerrilla, la guerra contra el narco). Ahora ha sido incapaz de comprender que hay un cambio en la manera de entender la gobernanza porque se tiene que negociar con múltiples actores sociales y políticos. Pero la única respuesta es policial”, sostiene.",0
20,"Paro nacional 2021, un hito en la protesta social de Colombia. “El Paro Cívico Nacional de 1977 fue la gran jornada de la segunda mitad del siglo XX, la primera fue sin duda el Bogotazo (1948). Este paro fue muy grande, pero duró dos días en Bogotá y un día en la mayor parte del territorio. Hubo 19 muertos en la capital y dos o tres en el resto del país, comparado con el paro actual fue bastante pacífico”, dijo a la Agencia Anadolu Mauricio Archila Neira, profesor de la Universidad Nacional de Colombia e investigador del Centro de Investigación y Educación Popular (Cinep). De acuerdo con Archila Neira, la aparición de la violencia paramilitar en la década de 1980 inhibió a los movimientos sociales.  “La teoría de los paramilitares era la del pez en agua. El agua era la población civil y para acabar a la guerrilla había que destruir entonces a las organizaciones sociales”, indicó el profesor. “Los movimientos sociales se debilitan mucho porque asesinan a sus dirigentes, destruyen las organizaciones, erradican a sangre y fuego la protesta. Hay zonas que se pacificaron a sangre y fuego por parte de los paramilitares, a veces incluso por efectivos del Ejército, la Policía, la Armada y el DAS (Departamento Administrativo de Seguridad)”, detalló. La protesta social en el país empezó a reactivarse a partir de 2006, según la base de datos de luchas sociales en Colombia de Cinep.",-1
21,"Y, además, dicen que para iniciar el diálogo solicitan la no judicialización de los miembros de la primera línea por delitos relacionados con terrorismo, vandalismo, daño en bien público y demás delitos relacionados con bienes jurídicos protegidos y el reconocimiento del parque Mundo como una zona de campamento permanente para miembros de las primeras líneas que al momento de ejercer el derecho de la manifestación se quedaron sin hogar. “Exigimos que se nos establezca ese campamento con veeduría 24/7”.",0
22,"El 9 de mayo, civiles vestidos de blanco en esta misma zona del sur de Cali conocida como Ciudad Jardín dispararon abiertamente a un grupo de indígenas que supuestamente se estaban metiendo a sus conjuntos. La zona alberga urbanizaciones cerradas con casas de campo, frondosa naturaleza tropical y seguridad privada.... ""Acá hay un sentido de comunidad que se manifestó ese día"", me explicó. ""Porque nos costó mucho llegar a ser el barrio in (de moda, acomodado) y queremos que se mantenga así"". ""No queremos hacerle daño nadie, pero también queremos que se respete lo nuestro; no puede ser que la protesta por los derechos de unos acabe con los derechos de otros"", concluyó. El auge de estos barrios en Cali se dio durante el apogeo del narcotráfico en los años 90, pero, según Tedesco, ""la comunidad los ha ido sacando (a los narcos)"".",0
23,"‘Primera Línea’ entregó la Universidad del Quindío en “deplorable estado de vandalización”, denuncia su rector. Cerca de 20 jóvenes que dicen ser miembros de la Primera Línea en esa región se habían tomado la universidad por más de 20 días. El consejero Presidencial de Seguridad Nacional, Rafael Guarín, arremetió en contra de dicho grupo, al advertir que no la integran, según él, jóvenes espontáneos que salen de barrios populares o pacíficas mamás. En su momento, el funcionario indicó que los de la primera línea no se pueden catalogar como “héroes”, a quienes, de acuerdo con el consejero presidencial, algunos políticos exaltan. Este martes, se conoció un nuevo hecho de vandalismo que se le atribuye a la primera línea, en esta ocasión en el departamento del Quindío, con lo que las críticas a este grupo de manifestantes siguen creciendo. El nuevo hecho en el que se ve envuelta la primera línea es un presunto hecho de robo y vandalización dentro de las instalaciones de la Universidad del Quindío, la cual se había tomado este grupo desde hace cerca de 25 días.",1
24,"Andrés Escobar, el empresario que fue captado en video disparando en Ciudad Jardín, habló tras los hechos registrados el pasado viernes en este barrio del sur de Cali y luego de que fuera expuesto en redes sociales, donde lo calificaron de “asesino, paramilitar y genocida”. Aseguró que, por las fotos que han estado circulando en redes sociales, ha sido objeto de “injurias, calumnias, múltiples amenazas de manera acelerada”. Afirmó que “los disparos fueron para disuadirlos, ya que estaban avanzando para quemar” el CAI de Ciudad Jardín.",1
25,"A pesar de que el comité del paro ha encabezado muchas de las protestas, no representa a grupos juveniles o indígenas que también han organizado marchas y montado barricadas en ciudades como Cali y la capital, Bogotá. Estos grupos negocian actualmente por separado con las autoridades municipales.",0
26,"Los oficiales del Ejército de la reserva activa del Curso Militar “Coronel Antonio Arredondo” expresaron este jueves su preocupación por la situación que atraviesa el país actualmente por cuenta del paro nacional. De acuerdo con el grupo de oficiales, Colombia
 está “frente a una amenaza que atenta contra la integridad del Estado, 
la democracia y las instituciones, al mismo tiempo que afecta la 
estructura productiva y empresarial del país”.",1
27,"Ambas organizaciones están instaladas en la plazoleta frente al importante portal Américas, pero la primera línea se ha mostrado más resistente a un acuerdo. “Nos consideramos independientes. Respetamos las dinámicas del Comité del Paro, pero no las reconocemos como nuestras. No aceptamos el bajarse de la mesa ni que se acaben los bloqueos. La primera línea portal de la Resistencia sigue en pie de lucha y seguimos en un proceso de conformación de un movimiento político y, como tal, no vamos a descansar”, aseguró el Profe. Han sido claros en señalar que las vías de hecho no se van a abandonar por ahora y que defenderán a la población y a los manifestantes. “La primera línea prestará seguridad contra la represión estatal”, agregó. Pero ¿qué piden? Tienen al menos un pliego de 21 peticiones de carácter nacional y distrital.",-1
28,"La concejal de Bogotá Heidy Sánchez, recordada por replicar información falsa sobre el presunto uso de ambulancias para transportar gases lacrimógenos con destino al Escuadrón Móvil Antidisturbios - Esmad en el Portal de las Américas, en el marco de las manifestaciones de la capital, resultó investigada por el delito de instigación. Ahora la misma concejal salió “regañada” al radicar una tutela que buscaba prohibir el uso del dispositivo Venom por parte del Esmad en Bogotá.",0
29,"El viceministro de Salud y Protección Social, Luis Alexander Moscoso, le dijo a Caracol Radio que Caldas está afrontando el cuarto pico de la pandemia por COVID-19 debido a las aglomeraciones que se registraron en las marchas y protestas, en las cuales no se guardó ningún protocolo de bioseguridad.",1
30,"Las movilizaciones sociales en contra del Gobierno de Iván Duque Márquez completaron dos meses de continuidad, desde que se inauguró el paro nacional el pasado 28 de abril en Colombia. Pese a que las protestas decrecieron en concurrencia e intensidad y aún no tienen un desenlace, marcaron un hito en cuanto a las luchas sociales en el país.",0
