,Item (Texto),GravedadMode,SesgoMode
0,"Las protestas, sin precedentes, ya completan casi un mes, se han salido de control por cuenta de la violencia y tienen al borde de la quiebra a millones de personas y empresas en el país, aunque muchas de las demandas de los manifestantes son justas.",2,1
1,"Antes rivales irreconciliables en las canchas, hoy compañeros en la protesta social. Los hinchas de clubes con historial de largas enemistades en Colombia unieron sus voces para rechazar la realización de la Copa América 2021 que su país debía recibir junto con Argentina. Y lo consiguieron, los fanáticos y la población en general. “¡No se juega, la Copa no se juega!”, gritaron seguidores de distintos equipos con pancartas que rezaban “Si no hay paz, no hay futbol” y lograron lo impensable. Colombia perdió la sede por decisión de la Conmebol y los aficionados al futbol celebran lo que consideran un triunfo social, por encima de sus preferencias deportivas.",1,0
2,"Una patrullera de la Policía Nacional denunció este jueves que fue violada por vándalos en Cali, Valle del Cauca. La oficial se encontraba en labores de seguridad durante las manifestaciones del pasado 29 de abril cuando ocurrieron los hechos. Había sido asignada para brindar seguridad en un sector al oriente de Cali. En medio de los actos vandálicos, ella ingresó al CAI para protegerse. Pero los vándalos la emprendieron contra las instalaciones y lo prendieron fuego. Allí, esta mujer empezó a vivir los momentos más duros de su vida.",3,1
3,"A simple vista, todo lo que ha dicho Petro es claramente una exageración o una mentira. Sin embargo, en un ambiente caldeado y violento, sus palabras se convierten en gasolina, y lo único que hacen es encender más el odio en momentos en que los colombianos exigen grandeza y sensatez de parte de sus líderes políticos para poder sacar adelante las reformas que demandan los ciudadanos, principalmente los jóvenes. Por esta razón, Petro se equivoca y está jugando, literalmente, con fuego: lo que hoy puede hacerlo popular mañana podría pasarle una costosa factura en términos políticos y dejarlo sin opciones en las presidenciales.",1,1
4,"Durante los últimos 26 días desde que se convocó a Paro Nacional como negativa a las directrices del Gobierno de Iván Duque, la Fiscalía General y la Defensoría del Pueblo tienen en sus reportes 43 personas fallecidas de los cuales 17 de ellas tienen nexo directo con las protestas. Los lugares del país que más reportan muertes es Cali con ocho casos, seguido de Valle del Cauca (3), Cundinamarca (3), Tolima (1) y Bogotá (1). Adicionalmente, hay 7 muertes en proceso de verificación, y sobre 19 tienen evidencia para establecer que no guardan vínculo con las movilizaciones.",3,0
5,"El sábado 22 de mayo pasado, el patrullero del Esmad Cristian Calderón, con un año en la Policía Nacional, fue herido de gravedad en su rostro cuando un hombre lo atacó con una bomba incendiaria en medio de desmanes que se estaban registrando en la autopista Sur con avenida 68. ""La Policía ofrece 50 millones de pesos para quien dé información de los responsables de esta tentativa de homicidio. Se ha creado un equipo especial para dar con los responsables a partir de los videos e información que ha estado recibiendo la Policía Nacional"", señaló el general Vargas.",3,1
6,"...se informó y difundieron imágenes sobre movilizaciones ciudadanas, que fueron reprimidas por la policía, en el sector Calima, de la misma ciudad. Además de Cali, hubo protestas en Palmira, también en Valle del Cauca, donde denunciaron una cruenta represión por parte de las fuerzas de seguridad contra los descontentos. Ciudadanos publicaron videos en las redes sociales y denunciaron que varias personas resultaron heridas. En ese mismo espacio también hubo reportes de presuntas capturas y desapariciones, aunque no se conocen cifras.",3,-1
7,"Colombia.- El Gobierno colombiano y el Comité del Paro cierran la octava jornada de diálogo sin llegar a acuerdos

El 28 de abril comenzó el paro nacional, una huelga indefinida convocada contra la propuesta de reforma fiscal del Gobierno del presidente Iván Duque. La propuesta fue finalmente retirada por el Ejecutivo, pero la protesta continúa para denunciar la represión policial y las políticas de Duque y se han planteado una serie de reivindicaciones sociales, sanitarias y educativas.",1,0
8,"La presión de las movilizaciones a lo largo del país, que iniciaron junto a un paro nacional el pasado 28 de abril, dejan por el momento dos logros tangibles: el retiro del proyecto a la reforma tributaria, anunciado el pasado 2 de mayo y la cancelación de la reforma a la salud, el pasado 19 de mayo.",2,0
9,"Miles de colombianos se manifiestan a lo largo del país este 12 de mayo, en la tercera jornada de paro nacional desde que iniciaron las protestas antigubernamentales el pasado 28 de abril. Las movilizaciones de este miércoles, que transcurren de manera pacífica, fueron convocadas por el Comité Nacional del Paro en respuesta a la falta de un acuerdo con el presidente Iván Duque durante la primera reunión que sostuvieron el pasado lunes para negociar sus propuestas sociales, económicas y de seguridad con el fin de encontrar una salida a la crisis.",1,0
